"","date","count"
"1",2021-09-17,0
"2",2021-09-18,13
"3",2021-09-19,3
"4",2021-09-20,10
"5",2021-09-21,14
"6",2021-09-22,4
"7",2021-09-23,9
"8",2021-09-24,3
"9",2021-09-25,4
"10",2021-09-26,4
"11",2021-09-27,7
"12",2021-09-28,4
"13",2021-09-29,10
"14",2021-09-30,36
"15",2021-10-01,2
"16",2021-10-02,5
"17",2021-10-03,11
"18",2021-10-04,21
"19",2021-10-05,3
"20",2021-10-06,1
"21",2021-10-07,4
"22",2021-10-08,18
"23",2021-10-09,1
"24",2021-10-10,1
"25",2021-10-11,2
"26",2021-10-12,2
"27",2021-10-13,12
"28",2021-10-14,0
"29",2021-10-17,8
"30",2021-10-18,41
"31",2021-10-19,7
"32",2021-10-20,54
"33",2021-10-21,12
"34",2021-10-22,8
"35",2021-10-23,8
"36",2021-10-24,50
"37",2021-10-25,14
"38",2021-10-30,0
"39",2021-10-31,47
"40",2021-11-01,30
"41",2021-11-02,140
"42",2021-11-03,54
"43",2021-11-04,33
"44",2021-11-05,31
"45",2021-11-06,22
"46",2021-11-07,28
"47",2021-11-08,28
"48",2021-11-09,16
"49",2021-11-10,36
"50",2021-11-11,26
"51",2021-11-12,55
"52",2021-11-13,3
"53",2021-11-14,18
"54",2021-11-15,52
"55",2021-11-16,32
"56",2021-11-17,81
"57",2021-11-18,61
"58",2021-11-19,64
"59",2021-11-20,16
"60",2021-11-21,30
"61",2021-11-22,52
"62",2021-11-28,18
"63",2021-11-29,54
"64",2021-11-30,33
"65",2021-12-01,54
"66",2021-12-02,38
"67",2021-12-03,39
"68",2021-12-04,26
"69",2021-12-05,75
"70",2021-12-06,19
"71",2021-12-07,35
"72",2021-12-08,41
"73",2021-12-09,17
"74",2021-12-10,43
"75",2021-12-11,22
"76",2021-12-12,17
"77",2021-12-13,64
"78",2021-12-14,33
"79",2021-12-15,2
"80",2021-12-20,49
"81",2021-12-21,30
"82",2021-12-22,28
"83",2021-12-23,26
"84",2021-12-24,13
"85",2021-12-25,68
"86",2021-12-26,14
"87",2021-12-27,27
"88",2021-12-28,23
"89",2021-12-29,24
"90",2021-12-30,28
"91",2021-12-31,13
"92",2022-01-01,264
"93",2022-01-02,16
"94",2022-01-03,51
"95",2022-01-04,12
"96",2022-01-05,58
"97",2022-01-06,16
"98",2022-01-07,23
"99",2022-01-08,24
"100",2022-01-09,155
"101",2022-01-10,74
"102",2022-01-11,26
"103",2022-01-12,16
"104",2022-01-13,52
"105",2022-01-14,23
"106",2022-01-15,53
"107",2022-01-16,143
"108",2022-01-17,47
"109",2022-01-29,33
"110",2022-01-30,22
"111",2022-01-31,49
"112",2022-02-01,36
"113",2022-02-02,29
"114",2022-02-03,50
"115",2022-02-04,25
"116",2022-02-05,8
"117",2022-02-06,10
"118",2022-02-07,34
"119",2022-02-08,27
"120",2022-02-09,40
"121",2022-02-10,18
"122",2022-02-11,14
"123",2022-02-12,2
"124",2022-02-13,36
"125",2022-02-14,3
"126",2022-02-15,30
"127",2022-02-16,21
"128",2022-02-17,14
"129",2022-02-18,14
"130",2022-02-19,22
"131",2022-02-20,4
"132",2022-02-21,32
"133",2022-02-22,27
"134",2022-02-23,13
"135",2022-02-24,43
"136",2022-02-25,22
"137",2022-02-26,52
"138",2022-02-27,17
"139",2022-02-28,19
"140",2022-03-01,20
"141",2022-03-02,13
"142",2022-03-03,14
"143",2022-03-04,27
"144",2022-03-05,4
"145",2022-03-06,11
"146",2022-03-07,12
"147",2022-03-08,17
"148",2022-03-09,9
"149",2022-03-10,15
"150",2022-03-11,6
"151",2022-03-12,14
"152",2022-03-13,9
"153",2022-03-14,10
"154",2022-03-15,11
"155",2022-03-16,0
"156",2022-03-19,7
"157",2022-03-20,10
"158",2022-03-21,9
"159",2022-03-22,12
"160",2022-03-23,4
"161",2022-03-24,15
"162",2022-03-25,5
"163",2022-03-26,4
"164",2022-03-27,11
"165",2022-03-30,10
"166",2022-03-31,7
"167",2022-04-01,14
"168",2022-04-02,18
"169",2022-04-03,10
"170",2022-04-04,39
"171",2022-04-05,6
"172",2022-04-06,7
"173",2022-04-07,10
"174",2022-04-08,4
"175",2022-04-09,2
