"","X","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","id","w_link$urls_expanded_url"
"349",2531,13725122,1459052378993446912,"2021-11-12 06:56:09","varsanyimartina","Oltás NÉLKÜL dupla az esélyed, hogy beteg leszel, ötször nagyobb hogy belehalsz. https://t.co/q59jIWtuYP

Két szuri, vagy ez egy kis gyógyszer az intenzíven. Ez egy napi adag. https://t.co/katmWdCsSe","Twitter Web App",175,NA,NA,NA,FALSE,FALSE,93,23,NA,NA,NA,NA,"telex.hu/koronavirus/20…","https://t.co/q59jIWtuYP","https://telex.hu/koronavirus/2021/11/11/oltas-vakcina-vedettseg-hatasossag-fertozes-betegseg-korhazba-kerules-halal-ellen-oroszi-beatrix-statisztika","http://pbs.twimg.com/media/FD-YTK3WQAEZA-S.jpg","https://t.co/katmWdCsSe","https://twitter.com/varsanyimartina/status/1459052378993446919/photo/1","photo","http://pbs.twimg.com/media/FD-YTK3WQAEZA-S.jpg","https://t.co/katmWdCsSe","https://twitter.com/varsanyimartina/status/1459052378993446919/photo/1",NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/varsanyimartina/status/1459052378993446919","Martina Varsányi <U+0001F1ED><U+0001F1FA><U+0001F1E9><U+0001F1EA><U+0001F1EA><U+0001F1FA><U+0001F30D><U+0001F3F3><U+FE0F><U+200D><U+0001F308>","Bonn Germany Budapest, Hungary","Informatikus, software architect, blogger, geeklány","https://t.co/d32Xvlkdu9",FALSE,1865,459,74,47966,15358,"2008-02-20 15:41:39",FALSE,"https://t.co/d32Xvlkdu9","http://varsanyi.hu",NA,"https://pbs.twimg.com/profile_banners/13725122/1461661412","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/724886734966808576/rRzt4ybQ_normal.jpg",2021111547,"https://telex.hu/koronavirus/2021/11/11/oltas-vakcina-vedettseg-hatasossag-fertozes-betegseg-korhazba-kerules-halal-ellen-oroszi-beatrix-statisztika"
"819",5771,233415907,1464890126451068928,"2021-11-28 09:33:17","agileszek","Óriási csoda!
...de hát kit érdekel, úgyse fogják beadatni, mert nem holtan esnek össze benne az emberek az utcán, csak szép lassan mennek tönkre családostul-mindenestül. https://t.co/4WvKQJmuBt","Twitter Web App",194,NA,NA,NA,FALSE,FALSE,48,3,NA,NA,NA,NA,"index.hu/techtud/2021/1…","https://t.co/4WvKQJmuBt","https://index.hu/techtud/2021/11/26/alzheimer-kor-demencia-neurodegenerativ-leepules-betegseg-agy-beta-amiloid-oltas-vakcina/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/agileszek/status/1464890126451068929","Ágivagyok","Budapest","Van itt minden, mint a búcsúba' | ENTP",NA,FALSE,1099,827,0,10521,47838,"2011-01-03 04:55:39",FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/233415907/1609447815","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1055501427626438656/oecIczr1_normal.jpg",20211206115,"https://index.hu/techtud/2021/11/26/alzheimer-kor-demencia-neurodegenerativ-leepules-betegseg-agy-beta-amiloid-oltas-vakcina/"
"1747",11228,1139407285631930368,1482975645810450432,"2022-01-17 07:18:40","MiHazank","Megint többezren voltunk, és megint többen, mint a legutóbbi tüntetésünkön, köszönet ezért! Április 3-án adjuk be együtt Orbán Viktornak az emlékeztetõt!

https://t.co/ELsfs33wjf","Twitter for Android",178,NA,NA,NA,FALSE,FALSE,47,10,NA,NA,NA,NA,"magyarjelen.hu/soha-tobbe-nem…","https://t.co/ELsfs33wjf","https://magyarjelen.hu/soha-tobbe-nem-lehet-elhallgatni-a-mi-hazankat-tobb-ezren-tuntettek-a-kotelezo-oltas-ellen/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1482975645810450436","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1842,2,5,3356,1,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",2022011780,"https://magyarjelen.hu/soha-tobbe-nem-lehet-elhallgatni-a-mi-hazankat-tobb-ezren-tuntettek-a-kotelezo-oltas-ellen/"
"574",3905,1139407285631930368,1462722646710366208,"2021-11-22 10:00:29","MiHazank","Több ezer ember gyûlt össze szombaton az Alkotmánybíróság elõtt, hogy részt vegyen a Mi Hazánk kötelezõ oltás elleni tüntetésén. 

https://t.co/iD5yyBccTc","Twitter for Android",154,NA,NA,NA,FALSE,FALSE,26,4,NA,NA,NA,NA,"magyarjelen.hu/oltatlan-vagyo…","https://t.co/iD5yyBccTc","https://magyarjelen.hu/oltatlan-vagyok-nem-bunozo-videon-a-mi-hazank-tuntetese-a-kotelezo-oltas-ellen/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1462722646710366208","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1699,2,5,3073,0,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",2021112272,"https://magyarjelen.hu/oltatlan-vagyok-nem-bunozo-videon-a-mi-hazank-tuntetese-a-kotelezo-oltas-ellen/"
"2107",13559,1139407285631930368,1491695067526045696,"2022-02-10 08:46:33","MiHazank","Dúró Dóra :
%Az Indexnek magyaráztam el, hogy mit jelent a Mi Hazánk fellépése a covid-diktatúra ellen, miért kötnénk írni-olvasni tudáshoz a szavazati jogot, és mibõl fedeznénk a létszükséget jelentõ béremeléseket.

https://t.co/hqqrWcOWZ7","Twitter for Android",240,NA,NA,NA,FALSE,FALSE,25,7,NA,NA,NA,NA,"magyarjelen.hu/duro-dora-az-i…","https://t.co/hqqrWcOWZ7","https://magyarjelen.hu/duro-dora-az-indexnek-a-mi-hazank-erosodik-bizakodva-nezunk-a-valasztasok-ele/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1491695067526045699","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1933,2,6,3467,1,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",20220214341,"https://magyarjelen.hu/duro-dora-az-indexnek-a-mi-hazank-erosodik-bizakodva-nezunk-a-valasztasok-ele/"
"2264",14688,3090011805,1498001914419716096,"2022-02-27 18:27:42","juteszembe","""letiltják az orosz propagandát is, így az állami tulajdonú Russia Today, a Sputnik és a leágazásaik nem hirdethetik tovább Putyin üzeneteit""

Szeretném jelezni, hogy az #MTVA-nak is van ám orosz nyelvû ""híradója""... <U+0001F937><U+200D>><U+FE0F> #Fidesz #moszkovita #propaganda

https://t.co/T2dJSe3YpC","Twitter for Android",278,NA,NA,NA,FALSE,FALSE,25,3,NA,NA,"MTVA Fidesz moszkovita propaganda",NA,"444.hu/2022/02/27/kit…","https://t.co/T2dJSe3YpC","https://444.hu/2022/02/27/kitiltjak-az-orosz-propagandat-es-a-repulogepeket-az-eu-teruleterol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/juteszembe/status/1498001914419716098","juteszembe","Budapest, Hungary, Europe","Na figyelj ide, mondom hogy mi van.

<U+0001F1ED><U+0001F1FA> <U+0001F1EA><U+0001F1FA> #IStandWithUkraine <U+0001F1FA><U+0001F1E6> #StopRussianAggression",NA,FALSE,1650,868,11,33291,3984,"2015-03-12 22:09:31",FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/3090011805/1645709936","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1496842889418219529/PImNMnUA_normal.jpg",20220302301,"https://444.hu/2022/02/27/kitiltjak-az-orosz-propagandat-es-a-repulogepeket-az-eu-teruleterol"
"2275",14875,2954647828,1496821853570191360,"2022-02-24 12:18:34","danialvesSB","Azért így 43 ezer Covid halott és a háborús agresszor propagandáját harsogó kitartottak láttán kicsit felkérdezném a mértéktartó centristákat, akik szerint április 3-án nem/érvénytelenül/kutyákra kell szavazni, mert amúgy minden marad ugyanaz...
https://t.co/LxPwsyzA17","Twitter for Android",269,NA,NA,NA,FALSE,FALSE,25,4,NA,NA,NA,NA,"444.hu/2022/02/24/oro…","https://t.co/LxPwsyzA17","https://444.hu/2022/02/24/oroszorszag-nem-fogja-megtamadni-ukrajnat-ezt-egy-hulye-is-tudja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/danialvesSB/status/1496821853570191366","danialves","","Millókat kapok azért, hogy LMBTQ-propagandát gyártsak","https://t.co/UgcKYGJBQZ",FALSE,788,100,5,32428,17337,"2015-01-01 10:53:36",FALSE,"https://t.co/UgcKYGJBQZ","https://smokingbarrels.blog.hu/authors/danialves",NA,"https://pbs.twimg.com/profile_banners/2954647828/1507321036","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/550620556219793410/pSbYGR2Z_normal.jpeg",20220302488,"https://444.hu/2022/02/24/oroszorszag-nem-fogja-megtamadni-ukrajnat-ezt-egy-hulye-is-tudja"
"2159",13940,1139407285631930368,1495652870204665856,"2022-02-21 06:53:26","MiHazank","Toroczkai László, Magyarország egyetlen oltatlan kormányfõjelöltje az oltások megdöbbentõ mellékhatásait mutatja be legújabb videójában a meghívott vendégek személyes tapasztalatait, és a Koronavírus Kutatóközpont következtetéseit is figyelembe véve. 

https://t.co/DeD8uiuyM9","Twitter for Android",276,NA,NA,NA,FALSE,FALSE,23,10,NA,NA,NA,NA,"magyarjelen.hu/toroczkai-lasz…","https://t.co/DeD8uiuyM9","https://magyarjelen.hu/toroczkai-laszlo-megdobbento-oltas-utani-mellekhatasokat-mutat-be-legujabb-videojaban/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1495652870204665857","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1959,2,6,3512,1,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",2022022389,"https://magyarjelen.hu/toroczkai-laszlo-megdobbento-oltas-utani-mellekhatasokat-mutat-be-legujabb-videojaban/"
"57",511,1139407285631930368,1442559875792314368,"2021-09-27 18:40:50","MiHazank","A Mi Hazánk egyedüli pártként jelenlétével is támogatta a miskolci egészségügyi dolgozók kötelezo Covid-oltások ellen szervezett demonstrációját. Álláspontunk, hogy senkinek ne legyen kötelezo a vakcinák felvétele és ezért senkit ne diszkriminálhassanak!

https://t.co/nUi1NTwyet","Twitter for Android",279,NA,NA,NA,FALSE,FALSE,22,3,NA,NA,NA,NA,"magyarjelen.hu/csak-a-mi-haza…","https://t.co/nUi1NTwyet","https://magyarjelen.hu/csak-a-mi-hazank-tamogatta-a-kotelezo-oltas-elleni-tuntetest-miskolcon/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1442559875792314370","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1525,2,5,2770,0,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",20211003208,"https://magyarjelen.hu/csak-a-mi-hazank-tamogatta-a-kotelezo-oltas-elleni-tuntetest-miskolcon/"
"1703",10553,1139407285631930368,1478767807806513152,"2022-01-05 16:38:14","MiHazank","Ne legyen kötelezõ az oltás! Nem tûrjük a zsarolást!-ezzel a jelszóval tart tüntetést az egészségügyi államtitkárságnál,majd a köznevelésinél a Mi Hazánk Mozgalom január 16-án.Várjuk minden oltott és oltatlan honfitársunkat, aki nem akar diktatúrában élni!
https://t.co/JdVeX4oX0U","Twitter for Android",280,NA,NA,NA,FALSE,FALSE,22,6,NA,NA,NA,NA,"magyarjelen.hu/tuntetest-szer…","https://t.co/JdVeX4oX0U","https://magyarjelen.hu/tuntetest-szervez-a-covid-diktatura-ellen-a-mi-hazank/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MiHazank/status/1478767807806513158","Mi Hazánk Mozgalom","Hungary","A Mi Hazánk Mozgalom hivatalos oldala // Official account of Our Homeland Movement","https://t.co/fnCt3xMWA8",FALSE,1826,2,5,3328,1,"2019-06-14 05:40:40",FALSE,"https://t.co/fnCt3xMWA8","http://www.mihazank.hu",NA,"https://pbs.twimg.com/profile_banners/1139407285631930368/1586842500",NA,"http://pbs.twimg.com/profile_images/1139407587290435584/ZidkNuUj_normal.jpg",20220111540,"https://magyarjelen.hu/tuntetest-szervez-a-covid-diktatura-ellen-a-mi-hazank/"
