"","date","count"
"1",2021-09-17,1
"2",2021-09-18,8
"3",2021-09-19,19
"4",2021-09-20,11
"5",2021-09-21,11
"6",2021-09-22,8
"7",2021-09-23,21
"8",2021-09-24,31
"9",2021-09-25,8
"10",2021-09-26,11
"11",2021-09-27,20
"12",2021-09-28,19
"13",2021-09-29,17
"14",2021-09-30,19
"15",2021-10-01,10
"16",2021-10-02,6
"17",2021-10-03,11
"18",2021-10-04,20
"19",2021-10-05,14
"20",2021-10-06,16
"21",2021-10-07,20
"22",2021-10-08,22
"23",2021-10-09,2
"24",2021-10-10,5
"25",2021-10-11,11
"26",2021-10-12,16
"27",2021-10-13,21
"28",2021-10-14,6
"29",2021-10-17,2
"30",2021-10-18,19
"31",2021-10-19,13
"32",2021-10-20,17
"33",2021-10-21,10
"34",2021-10-22,20
"35",2021-10-23,5
"36",2021-10-24,9
"37",2021-10-25,18
"38",2021-10-30,1
"39",2021-10-31,45
"40",2021-11-01,57
"41",2021-11-02,64
"42",2021-11-03,81
"43",2021-11-04,67
"44",2021-11-05,78
"45",2021-11-06,35
"46",2021-11-07,36
"47",2021-11-08,66
"48",2021-11-09,71
"49",2021-11-10,77
"50",2021-11-11,75
"51",2021-11-12,82
"52",2021-11-13,34
"53",2021-11-14,38
"54",2021-11-15,68
"55",2021-11-16,92
"56",2021-11-17,76
"57",2021-11-18,85
"58",2021-11-19,86
"59",2021-11-20,52
"60",2021-11-21,64
"61",2021-11-22,103
"62",2021-11-28,49
"63",2021-11-29,71
"64",2021-11-30,86
"65",2021-12-01,70
"66",2021-12-02,77
"67",2021-12-03,65
"68",2021-12-04,36
"69",2021-12-05,35
"70",2021-12-06,81
"71",2021-12-07,76
"72",2021-12-08,62
"73",2021-12-09,67
"74",2021-12-10,44
"75",2021-12-11,37
"76",2021-12-12,38
"77",2021-12-13,47
"78",2021-12-14,62
"79",2021-12-15,16
"80",2021-12-20,83
"81",2021-12-21,93
"82",2021-12-22,71
"83",2021-12-23,64
"84",2021-12-24,22
"85",2021-12-25,22
"86",2021-12-26,53
"87",2021-12-27,57
"88",2021-12-28,47
"89",2021-12-29,72
"90",2021-12-30,47
"91",2021-12-31,28
"92",2022-01-01,33
"93",2022-01-02,42
"94",2022-01-03,49
"95",2022-01-04,61
"96",2022-01-05,72
"97",2022-01-06,49
"98",2022-01-07,89
"99",2022-01-08,23
"100",2022-01-09,46
"101",2022-01-10,85
"102",2022-01-11,74
"103",2022-01-12,64
"104",2022-01-13,60
"105",2022-01-14,69
"106",2022-01-15,32
"107",2022-01-16,39
"108",2022-01-17,61
"109",2022-01-29,44
"110",2022-01-30,31
"111",2022-01-31,47
"112",2022-02-01,68
"113",2022-02-02,82
"114",2022-02-03,45
"115",2022-02-04,45
"116",2022-02-05,23
"117",2022-02-06,24
"118",2022-02-07,48
"119",2022-02-08,35
"120",2022-02-09,47
"121",2022-02-10,45
"122",2022-02-11,35
"123",2022-02-12,14
"124",2022-02-13,13
"125",2022-02-14,31
"126",2022-02-15,29
"127",2022-02-16,47
"128",2022-02-17,29
"129",2022-02-18,28
"130",2022-02-19,12
"131",2022-02-20,18
"132",2022-02-21,27
"133",2022-02-22,32
"134",2022-02-23,34
"135",2022-02-24,27
"136",2022-02-25,17
"137",2022-02-26,13
"138",2022-02-27,15
"139",2022-02-28,16
"140",2022-03-01,30
"141",2022-03-02,24
"142",2022-03-03,18
"143",2022-03-04,22
"144",2022-03-05,4
"145",2022-03-06,13
"146",2022-03-07,17
"147",2022-03-08,18
"148",2022-03-09,11
"149",2022-03-10,16
"150",2022-03-11,19
"151",2022-03-12,7
"152",2022-03-13,6
"153",2022-03-14,11
"154",2022-03-15,8
"155",2022-03-16,0
"156",2022-03-19,1
"157",2022-03-20,7
"158",2022-03-21,23
"159",2022-03-22,19
"160",2022-03-23,21
"161",2022-03-24,23
"162",2022-03-25,16
"163",2022-03-26,6
"164",2022-03-27,14
"165",2022-03-30,15
"166",2022-03-31,32
"167",2022-04-01,17
"168",2022-04-02,17
"169",2022-04-03,9
"170",2022-04-04,12
"171",2022-04-05,25
"172",2022-04-06,13
"173",2022-04-07,26
"174",2022-04-08,23
"175",2022-04-09,9
